Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-09-30,1012.06,6.87,1018.93,215.05,344.32,-14.4,72.15,38.3,0.0,0.0,166.22,197.29,43.1,240.39,6.71,233.68,0.0,233.68,58.73,174.95,0.0,174.95,10.4,33.65,33.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,908.62,8.67,917.29,252.42,229.29,-29.59,78.13,37.98,0.0,0.0,184.01,165.05,78.44,243.49,6.59,236.9,0.0,236.9,54.76,182.14,0.0,182.14,10.4,35.03,35.03,0.0,0.0,0.0,0.0,0.0
2023-03-31,790.13,6.74,796.87,250.5,154.28,-17.48,68.56,36.67,0.0,0.0,184.13,120.21,44.01,164.22,9.22,155.0,0.0,155.0,39.89,115.11,0.0,115.11,10.4,22.14,22.14,0.0,0.0,0.0,0.0,0.0
2023-06-30,1034.11,8.83,1042.94,212.96,317.44,23.07,73.32,36.0,0.0,0.0,167.51,212.64,128.17,340.81,6.72,334.09,0.0,334.09,40.56,293.53,0.0,293.53,10.4,56.45,56.45,0.0,0.0,0.0,0.0,0.0
2023-09-30,1150.45,8.38,1158.83,277.36,419.21,-33.98,78.63,35.69,0.0,0.0,194.4,187.52,37.62,225.14,6.56,218.58,0.0,218.58,55.24,163.34,0.0,163.34,10.4,31.42,31.42,0.0,0.0,0.0,0.0,0.0
2023-12-31,1235.4,8.85,1244.25,298.09,391.61,45.78,79.19,35.45,0.0,0.0,210.45,183.68,126.38,310.06,5.72,304.34,0.0,304.34,58.79,245.55,0.0,245.55,10.4,47.23,47.23,0.0,0.0,0.0,0.0,0.0
2024-03-31,933.89,9.74,943.63,295.04,230.9,-39.79,84.95,35.54,0.0,0.0,198.45,138.54,97.83,236.37,6.82,229.55,0.0,229.55,51.13,178.42,0.0,178.42,10.4,34.32,34.32,0.0,0.0,0.0,0.0,0.0
2024-06-30,1164.04,0.0,1164.04,331.81,323.13,-22.84,95.0,34.88,0.0,0.0,182.81,219.25,99.89,319.14,5.63,313.51,-59.6,253.91,30.63,223.28,0.0,223.28,10.4,42.94,42.94,0.0,0.0,0.0,0.0,0.0
2024-09-30,1381.41,0.0,1381.41,346.45,455.22,-1.81,101.27,30.7,0.0,0.0,214.32,235.26,103.36,338.62,4.55,334.07,0.0,334.07,87.21,246.86,0.0,246.86,10.4,47.48,47.48,0.0,0.0,0.0,0.0,0.0
2024-12-31,1585.09,7.4,1592.49,404.25,575.64,-21.17,82.2,27.16,0.0,0.0,193.22,331.19,98.06,429.25,2.82,426.43,0.0,426.43,94.1,332.33,0.0,332.33,10.4,63.92,63.92,0.0,0.0,0.0,0.0,0.0
2025-03-31,1565.82,6.31,1572.13,428.93,538.96,-32.81,119.95,40.54,0.0,0.0,247.52,229.04,113.73,342.77,3.63,339.14,0.0,339.14,84.06,255.08,-14.35,240.73,10.4,46.3,46.3,0.0,0.0,0.0,0.0,0.0
