Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2022-12-31,1310.21,0.0,1310.21,328.01,75.79,16.32,263.03,65.85,0.0,402.83,158.38,0.58,158.96,14.65,144.31,0.0,144.31,25.18,119.13,0.0,119.13,39.31,6.06,6.06,0.0,0.0,0.0,0.0,0.0
2023-03-31,1307.12,0.0,1307.12,313.34,75.98,44.03,297.4,73.54,0.0,407.19,95.64,1.96,97.6,13.59,84.01,0.0,84.01,-46.53,130.54,0.0,130.54,39.31,6.64,6.64,0.0,0.0,0.0,0.0,0.0
2023-06-30,1332.27,0.0,1332.27,334.19,89.95,-7.2,327.47,65.75,0.0,422.13,99.98,11.84,111.82,14.29,97.53,0.0,97.53,0.0,97.53,0.0,97.53,39.31,4.96,4.96,0.0,0.0,0.0,0.0,0.0
2023-09-30,1478.84,0.0,1478.84,413.87,85.68,-30.07,326.41,67.18,0.0,475.5,140.27,8.95,149.23,15.39,133.84,0.0,133.84,0.0,133.84,0.0,133.84,39.31,6.81,6.81,0.0,0.0,0.0,0.0,0.0
2023-12-31,1588.39,0.0,1588.39,317.58,164.87,10.15,327.11,69.08,0.0,431.54,268.06,3.3,271.36,14.66,256.7,0.0,256.7,23.46,233.24,0.0,233.24,39.31,11.87,11.87,0.0,0.0,0.0,0.0,0.0
2024-03-31,1474.55,0.0,1474.55,337.38,109.2,-25.25,354.92,69.12,0.0,410.11,219.07,7.22,226.29,10.13,216.16,0.0,216.16,14.29,201.87,0.0,201.87,39.31,10.27,10.27,0.0,0.0,0.0,0.0,0.0
2024-06-30,1475.56,0.0,1475.56,405.93,94.36,-111.68,356.51,68.68,0.0,439.01,222.75,3.15,225.89,12.69,213.2,0.0,213.2,37.01,176.19,0.0,176.19,39.31,8.96,8.96,0.0,0.0,0.0,0.0,0.0
2024-09-30,1580.35,0.0,1580.35,393.14,96.1,-17.19,367.61,70.12,0.0,481.2,189.37,16.06,205.43,18.28,187.15,12.87,200.02,34.24,165.78,0.0,165.78,39.31,8.43,8.43,0.0,0.0,0.0,0.0,0.0
2024-12-31,1406.09,0.0,1406.09,446.91,105.13,-173.73,369.18,69.69,0.0,478.77,110.14,15.46,125.6,21.79,103.81,0.0,103.81,18.0,85.81,0.0,85.81,39.31,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2025-03-31,1570.64,0.0,1570.64,426.2,89.54,34.06,373.27,68.6,0.0,476.91,102.06,13.21,115.27,23.71,91.56,0.0,91.56,16.22,75.34,0.0,75.34,39.31,3.83,3.83,0.0,0.0,0.0,0.0,0.0
