Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-06-30,627.98,0.0,627.98,84.09,33.19,19.48,98.0,58.7,47.56,178.82,108.14,38.53,146.67,4.37,142.3,0.0,142.3,33.53,108.77,0.0,108.77,254.82,4.27,4.27,0.0,0.0,0.0,0.0,0.0
2020-09-30,717.46,0.0,717.46,153.89,34.41,-2.7,0.0,71.14,48.78,344.37,67.57,102.73,170.3,4.48,165.82,0.0,165.82,30.72,135.1,0.0,135.1,254.82,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2020-12-31,812.24,0.0,812.24,186.49,38.78,-16.89,136.85,59.81,48.65,232.56,125.99,25.89,151.88,4.21,147.67,0.0,147.67,32.03,115.64,0.0,115.64,254.82,4.54,4.54,0.0,0.0,0.0,0.0,0.0
2021-03-31,841.2,0.0,841.2,175.86,46.18,11.7,125.88,60.77,52.33,256.62,111.86,52.0,163.86,5.68,158.18,0.0,158.18,38.58,119.6,0.0,119.6,254.82,4.69,4.69,0.0,0.0,0.0,0.0,0.0
2021-06-30,827.84,0.0,827.84,156.93,45.13,-30.25,0.0,63.31,53.48,353.95,185.29,101.31,286.6,4.49,282.11,0.0,282.11,54.02,228.09,0.0,228.09,254.82,8.95,8.95,0.0,0.0,0.0,0.0,0.0
2021-09-30,847.0,0.0,847.0,165.54,21.28,29.74,0.0,59.02,54.95,379.84,136.63,44.75,181.38,4.7,176.68,0.0,176.68,42.11,134.57,20.44,155.01,254.82,6.09,6.09,0.0,0.0,0.0,0.0,0.0
2021-12-31,931.48,0.0,931.48,202.07,35.13,-13.2,0.0,62.52,55.81,400.54,188.61,29.36,217.97,4.34,213.63,0.0,213.63,57.93,155.7,0.0,155.7,254.82,6.11,6.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,1114.61,0.0,1114.61,289.6,58.81,-29.24,214.71,63.61,58.17,240.52,218.43,102.51,320.94,5.75,315.19,0.0,315.19,47.05,268.14,-5.38,262.76,254.82,10.31,10.31,0.0,0.0,0.0,0.0,0.0
2022-06-30,1225.0,0.0,1225.0,238.0,44.0,-32.0,0.0,66.0,60.0,511.0,338.0,161.0,499.0,4.0,495.0,0.0,495.0,114.0,381.0,0.0,381.0,255.0,14.96,14.96,0.0,0.0,0.0,0.0,0.0
2022-09-30,1185.0,0.0,1185.0,255.0,45.0,-4.0,283.0,58.0,60.0,254.0,234.0,51.0,285.0,8.0,277.0,0.0,277.0,34.0,243.0,0.0,243.0,255.0,9.54,9.54,0.0,0.0,0.0,0.0,0.0
